synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,345,159716,159719,3,0,3,42,full_window_off,505,508,97319.0546875,5420.4736328125,102739.53125
1,208,97212,97215,3,0,3,85,full_window_off,382,385,110651.34375,5123.25341796875,115774.6015625
2,304,139617,139620,3,0,3,36,full_window_off,154,157,100644.9921875,5307.73046875,105952.71875
3,166,82132,82133,1,0,1,183,full_window_off,365,366,131451.5,1985.9224853515625,133437.421875
4,168,83371,83374,3,0,3,120,full_window_off,376,379,133361.40625,5787.1416015625,139148.546875
5,181,87069,87071,2,0,2,61,full_window_off,456,458,130967.890625,4435.080078125,135402.96875
6,258,120144,120146,2,0,2,24,full_window_off,367,369,229376.578125,4622.388671875,233998.96875
7,271,126729,126733,4,0,4,82,full_window_off,369,373,136211.0625,6956.962890625,143168.03125
8,418,186100,186102,2,0,2,46,full_window_off,214,216,213791.28125,4803.28076171875,218594.5625
9,87,44581,44584,3,0,3,106,full_window_off,205,208,195203.96875,5566.7724609375,200770.734375
10,157,78886,78888,2,0,2,113,full_window_off,208,210,196288.84375,4689.79248046875,200978.625
11,214,98928,98930,2,0,2,69,full_window_off,132,134,145529.859375,3821.3828125,149351.234375
12,57,32538,32541,3,0,3,139,full_window_off,46,49,175922.234375,4165.4453125,180087.671875
13,149,75449,75452,3,0,3,110,full_window_off,66,69,142147.5,4432.64990234375,146580.15625
14,302,138798,138800,2,0,2,117,full_window_off,338,340,190274.40625,4350.1337890625,194624.53125
15,140,71041,71043,2,0,2,5,full_window_off,453,455,254262.375,3329.521484375,257591.890625
16,150,76074,76076,2,0,2,136,full_window_off,101,103,169299.3125,4689.23828125,173988.5625
17,74,38277,38279,2,0,2,128,full_window_off,480,482,185246.1875,4632.7099609375,189878.890625
18,396,178157,178159,2,0,2,125,full_window_off,126,128,348555.25,4171.02978515625,352726.25
19,420,186785,186787,2,0,2,110,full_window_off,87,89,142147.5,4388.1845703125,146535.6875
20,59,33608,33609,1,0,1,153,full_window_off,140,141,131587.6875,2231.433837890625,133819.125
21,353,163292,163295,3,0,3,24,full_window_off,143,146,229376.578125,6198.3388671875,235574.921875
22,130,67494,67496,2,0,2,42,full_window_off,344,346,97319.0546875,4661.5546875,101980.609375
23,421,187418,187420,2,0,2,177,full_window_off,378,380,105964.84375,4793.81787109375,110758.65625
